誤認識種類,誤認識数
e→p,15
b→h,10
s→c,5
t→r,5
q→g,4
c→r,4
w→u,4
o→c,4
g→y,4
y→l,4
m→r,3
z→i,3
w→n,3
e→o,3
s→r,3
q→y,3
o→n,3
m→w,3
g→q,2
c→o,2
m→n,2
a→o,2
t→f,2
n→a,2
y→g,2
e→a,2
n→r,2
f→t,2
z→t,2
k→h,2
u→a,1
m→k,1
e→c,1
z→j,1
l→r,1
w→q,1
z→y,1
g→f,1
j→i,1
s→k,1
o→e,1
v→u,1
u→v,1
a→i,1
k→f,1
s→j,1
t→p,1
a→u,1
合計,125
文字,認識率
a,88.6%
b,72.2%
c,83.3%
d,100.0%
e,89.9%
f,94.3%
g,80.6%
h,100.0%
i,100.0%
j,97.0%
k,91.9%
l,97.1%
m,74.3%
n,94.4%
o,88.6%
p,100.0%
q,77.4%
r,100.0%
s,85.9%
t,92.7%
u,97.2%
v,97.1%
w,78.4%
x,100.0%
y,94.4%
z,80.6%
全体,91.6%
