誤認識種類,誤認識数
e→p,10
y→l,6
o→d,5
s→c,4
w→n,4
i→j,4
m→n,3
y→t,3
b→h,3
n→r,2
t→f,2
y→r,2
f→t,2
o→n,2
u→a,2
r→v,2
q→e,1
e→c,1
i→t,1
w→a,1
n→q,1
i→z,1
s→r,1
n→a,1
q→g,1
a→g,1
o→m,1
p→f,1
o→s,1
v→r,1
e→a,1
u→v,1
g→y,1
a→n,1
i→l,1
w→u,1
z→t,1
e→o,1
n→v,1
x→n,1
k→h,1
t→p,1
a→u,1
合計,83
文字,認識率
a,91.4%
b,91.7%
c,100.0%
d,100.0%
e,93.7%
f,94.3%
g,97.2%
h,100.0%
i,95.2%
j,100.0%
k,97.3%
l,100.0%
m,91.4%
n,93.1%
o,87.1%
p,97.1%
q,93.5%
r,94.6%
s,93.0%
t,97.3%
u,95.8%
v,97.1%
w,83.8%
x,97.2%
y,89.7%
z,97.2%
全体,94.4%
