誤認識種類,誤認識数
e→p,28
b→h,14
o→c,7
m→w,7
i→j,7
s→c,5
m→r,5
s→r,5
y→l,5
c→r,4
f→t,4
t→r,3
z→i,3
a→o,3
g→q,2
u→a,2
k→t,2
s→f,2
t→f,2
q→y,2
u→v,2
w→u,2
m→k,2
n→r,2
w→n,1
e→o,1
e→c,1
z→j,1
m→n,1
l→r,1
w→q,1
n→a,1
y→g,1
e→a,1
n→q,1
q→g,1
s→g,1
g→y,1
o→m,1
y→t,1
e→s,1
v→u,1
a→i,1
i→l,1
z→t,1
o→n,1
n→u,1
r→v,1
s→j,1
k→h,1
t→p,1
a→u,1
合計,148
文字,認識率
a,85.7%
b,61.1%
c,88.9%
d,100.0%
e,84.5%
f,88.6%
g,91.7%
h,100.0%
i,94.5%
j,100.0%
k,91.9%
l,97.1%
m,57.1%
n,93.1%
o,87.1%
p,100.0%
q,90.3%
r,97.3%
s,80.3%
t,94.5%
u,94.4%
v,97.1%
w,89.2%
x,100.0%
y,93.5%
z,86.1%
全体,90.1%
