誤認識種類,誤認識数
e→p,11
m→n,5
w→u,5
w→n,5
n→r,4
a→n,4
f→t,3
t→f,3
g→q,3
u→n,3
s→r,2
n→a,2
p→r,2
b→h,2
e→o,2
y→l,2
o→u,1
e→c,1
i→t,1
w→q,1
y→g,1
i→r,1
q→g,1
e→z,1
a→g,1
o→m,1
a→j,1
y→t,1
e→s,1
u→v,1
a→i,1
i→l,1
w→h,1
r→v,1
x→n,1
s→j,1
i→j,1
k→h,1
m→w,1
t→e,1
z→q,1
a→u,1
合計,84
文字,認識率
a,77.1%
b,94.4%
c,100.0%
d,100.0%
e,92.3%
f,91.4%
g,91.7%
h,100.0%
i,97.3%
j,100.0%
k,97.3%
l,100.0%
m,82.9%
n,91.7%
o,97.1%
p,94.3%
q,96.8%
r,97.3%
s,95.8%
t,96.4%
u,94.4%
v,100.0%
w,67.6%
x,97.2%
y,96.3%
z,97.2%
全体,94.4%
