誤認識種類,誤認識数
e→p,25
b→h,13
i→j,11
s→c,7
o→c,6
g→q,5
e→o,5
s→r,5
w→u,4
f→t,4
m→r,3
t→r,3
w→n,3
e→c,3
c→r,3
o→n,3
n→r,3
y→l,3
k→t,2
n→a,2
m→w,2
q→y,2
g→y,2
a→u,2
v→u,2
k→h,2
y→g,2
u→a,1
w→m,1
z→i,1
z→j,1
l→r,1
w→q,1
i→f,1
q→g,1
e→z,1
o→m,1
u→n,1
g→f,1
a→o,1
o→e,1
u→v,1
t→f,1
a→i,1
k→f,1
i→l,1
z→x,1
r→v,1
t→p,1
合計,149
文字,認識率
a,88.6%
b,63.9%
c,91.7%
d,100.0%
e,83.6%
f,88.6%
g,77.8%
h,100.0%
i,91.1%
j,100.0%
k,86.5%
l,97.1%
m,85.7%
n,93.1%
o,84.3%
p,100.0%
q,90.3%
r,97.3%
s,83.1%
t,95.5%
u,95.8%
v,94.3%
w,75.7%
x,100.0%
y,95.3%
z,91.7%
全体,90.0%
