epoch,acc,loss,val_acc,val_loss
0,0.2734134615972065,2.4928998351097107,0.6094230780234704,1.3868429156450124
1,0.6398076913677729,1.1782433522435336,0.7644230792155633,0.8294039047681369
2,0.730384617470778,0.8826696523107015,0.8046153875497671,0.6679804646051847
3,0.7748076910009751,0.7416607708885119,0.8390384637392484,0.5683487057685852
4,0.8018269240856171,0.6422600671648979,0.8509615384615384,0.5056599928782537
5,0.8244711567576115,0.5761990905381166,0.8694230799491589,0.44440692777817065
6,0.8374519233520215,0.5339609398864783,0.8784615397453308,0.4136780168001468
7,0.845384616118211,0.496489539455909,0.8840384597961719,0.3917968502411476
8,0.8546634620198836,0.4564859907214458,0.8907692249004657,0.3542470032205948
9,0.8667307736781927,0.42088467283890796,0.8999999990830054,0.326480477475203
10,0.8715384602546692,0.4055651406256052,0.9061538462455456,0.3122718861469856
11,0.8772596132296783,0.3876003986940934,0.9051923109934881,0.29936236945482403
12,0.8803365373840699,0.3685321996991451,0.9109615408457242,0.2902836948633194
13,0.8862500013067172,0.349359575802317,0.9138461580643287,0.28051087202934116
14,0.8910096104328449,0.3357971314913951,0.918076930137781,0.2717957135576468
15,0.893269226528131,0.3271864771556396,0.9169230782068692,0.2587314930099707
16,0.9000480771064758,0.31063894640940887,0.9226923103515918,0.24369937353409254
17,0.9024038435174868,0.29760495902827155,0.9238461554050446,0.2379798018015348
18,0.9049038462913953,0.2908858545124531,0.9223076953337743,0.24007376226095054
19,0.9048076948294272,0.28504201698188597,0.922884620152987,0.22940317254800063
20,0.9081249993581039,0.2774455454200506,0.9278846176771017,0.22642264228600723
21,0.910865384225662,0.26905876784943616,0.9290384673155271,0.2168820402943171
22,0.9129807714086312,0.25991919808662856,0.9300000071525574,0.21693562372372702
23,0.9184615399975044,0.24638336452727133,0.9319230799491589,0.2115815505385399
24,0.9179326977867347,0.24229285636773476,0.9342307700560644,0.20340640670978105
25,0.9228846178605006,0.2356634929489631,0.9363461503615746,0.2032943660250077
26,0.9200961543963506,0.22939390158997133,0.9384615352520576,0.1910516364643207
27,0.9205769248879873,0.2299358006566763,0.9361538474376385,0.19677443229235136
28,0.9273076911385243,0.21916892838019592,0.940192305124723,0.17896292129388222
29,0.928221151805841,0.2104329103603959,0.9396153871829693,0.18363906529087287
30,0.9269711575829066,0.2117387902421447,0.9376923075089088,0.1902925271827441
31,0.9302884638309479,0.20794427717247835,0.9392307675801791,0.1809736696573404
32,0.9326442331075668,0.19449666765733406,0.9424999952316284,0.17642218648241118
33,0.9346634625242307,0.1906399538453955,0.9398076901069055,0.17664297297596931
34,0.9328846146280949,0.19160693396742529,0.9423076877227197,0.1750847281744847
35,0.9339903862430499,0.18757005523030573,0.9426923027405372,0.16847293050243303
36,0.9380288439301344,0.18227786678247726,0.9438461523789626,0.16954508051276207
37,0.9373076930642128,0.17684602594146362,0.949423067844831,0.16063011151093703
38,0.9360576942563057,0.18002938529333243,0.9459615326844729,0.16135457559273794
39,0.940721149627979,0.16677836149644393,0.9451923026488378,0.1627530286518427
40,0.9398557687034974,0.17388065338421327,0.947692300264652,0.16211823775218084
41,0.9380288462226207,0.1764429650054528,0.9469230702290168,0.15705391650016493
42,0.94293268598043,0.16158048851558796,0.9469230725215032,0.1679026558995247
43,0.940769228224571,0.16648372649573362,0.9478846077735608,0.1580139957368374
44,0.9427884599337211,0.15897778521936673,0.9484615303002871,0.1529154938000899
45,0.9457211494445801,0.15673226712701413,0.9498076851551349,0.1524375336101422
46,0.9493269192484709,0.14836714108689472,0.9538461474271921,0.1491495264837375
47,0.9449038431048393,0.15503924755522838,0.9498076828626486,0.15345378477986044
48,0.9507211492611811,0.13800432762274376,0.9498076851551349,0.1476895548403263
49,0.9511538428755907,0.14385205077437255,0.9490384551194998,0.14704398466990545
