誤認識種類,誤認識数
e→p,31
b→h,12
o→c,6
i→j,6
g→q,5
s→r,5
s→c,4
m→r,4
n→r,4
w→u,4
o→n,4
y→l,4
t→r,3
z→i,3
e→c,3
c→r,3
m→w,3
u→a,2
w→n,2
e→o,2
k→t,2
a→o,2
t→f,2
n→a,2
y→g,2
f→t,2
v→u,2
k→h,2
i→t,1
e→q,1
s→f,1
z→j,1
l→r,1
w→a,1
e→a,1
q→g,1
g→y,1
o→m,1
u→n,1
a→r,1
s→h,1
u→v,1
a→i,1
k→f,1
i→l,1
z→x,1
r→v,1
s→j,1
t→p,1
a→u,1
合計,148
文字,認識率
a,85.7%
b,66.7%
c,91.7%
d,100.0%
e,81.6%
f,94.3%
g,83.3%
h,100.0%
i,94.5%
j,100.0%
k,86.5%
l,97.1%
m,80.0%
n,91.7%
o,84.3%
p,100.0%
q,96.8%
r,97.3%
s,83.1%
t,94.5%
u,94.4%
v,94.3%
w,81.1%
x,100.0%
y,94.4%
z,86.1%
全体,90.1%
