誤認識種類,誤認識数
e→p,19
b→h,12
o→c,9
m→r,7
s→c,5
y→l,5
m→n,4
s→r,4
m→w,4
w→n,3
z→i,3
f→t,3
c→r,3
u→a,2
k→t,2
m→k,2
t→f,2
n→a,2
g→q,2
i→j,2
n→r,2
a→u,2
v→u,2
w→u,2
k→h,2
e→c,1
s→f,1
z→j,1
k→b,1
m→g,1
w→q,1
y→g,1
i→f,1
e→a,1
q→y,1
g→y,1
y→t,1
e→s,1
a→o,1
q→g,1
u→v,1
a→i,1
i→l,1
y→r,1
o→n,1
j→l,1
r→v,1
s→j,1
t→p,1
合計,129
文字,認識率
a,88.6%
b,66.7%
c,91.7%
d,100.0%
e,89.4%
f,91.4%
g,91.7%
h,100.0%
i,97.3%
j,97.0%
k,86.5%
l,100.0%
m,48.6%
n,94.4%
o,85.7%
p,100.0%
q,93.5%
r,97.3%
s,84.5%
t,97.3%
u,95.8%
v,94.3%
w,83.8%
x,100.0%
y,92.5%
z,88.9%
全体,91.4%
