誤認識種類,誤認識数
e→p,21
b→h,10
o→c,9
s→c,6
w→u,5
m→r,4
n→r,4
s→r,4
g→q,3
t→r,3
w→n,3
e→o,3
k→t,3
m→k,3
e→c,3
c→r,3
y→l,3
z→i,2
s→f,2
t→f,2
n→a,2
q→y,2
o→n,2
f→t,2
v→u,2
m→w,2
y→g,2
u→a,1
z→j,1
l→r,1
w→q,1
i→f,1
d→a,1
q→g,1
d→j,1
g→y,1
o→m,1
i→j,1
y→t,1
g→f,1
j→i,1
a→o,1
o→e,1
u→v,1
a→i,1
z→x,1
r→v,1
k→h,1
t→p,1
a→u,1
合計,133
文字,認識率
a,91.4%
b,72.2%
c,91.7%
d,94.4%
e,87.0%
f,94.3%
g,86.1%
h,100.0%
i,98.6%
j,97.0%
k,89.2%
l,97.1%
m,74.3%
n,91.7%
o,81.4%
p,100.0%
q,90.3%
r,97.3%
s,83.1%
t,94.5%
u,97.2%
v,94.3%
w,75.7%
x,100.0%
y,94.4%
z,88.9%
全体,91.1%
