誤認識種類,誤認識数
e→p,16
b→h,11
s→c,7
o→c,7
m→w,6
f→t,4
y→l,4
g→q,3
z→i,3
k→t,3
m→k,3
a→o,3
s→r,3
c→r,3
q→y,3
m→r,2
w→n,2
u→a,2
t→f,2
n→r,2
i→j,2
y→t,2
a→u,2
v→u,2
e→o,1
e→c,1
z→j,1
k→b,1
l→r,1
w→q,1
n→a,1
y→g,1
i→f,1
n→q,1
g→y,1
o→m,1
w→h,1
j→i,1
e→s,1
q→g,1
u→v,1
a→i,1
i→l,1
w→u,1
z→a,1
o→n,1
j→l,1
y→q,1
r→v,1
s→j,1
k→h,1
t→p,1
合計,125
文字,認識率
a,82.9%
b,69.4%
c,91.7%
d,100.0%
e,90.8%
f,88.6%
g,88.9%
h,100.0%
i,97.3%
j,93.9%
k,86.5%
l,97.1%
m,68.6%
n,94.4%
o,87.1%
p,100.0%
q,87.1%
r,97.3%
s,84.5%
t,97.3%
u,95.8%
v,94.3%
w,86.5%
x,100.0%
y,92.5%
z,86.1%
全体,91.6%
