誤認識種類,誤認識数
e→p,27
b→h,13
s→c,7
i→j,7
s→r,6
w→u,5
o→c,5
q→y,5
g→q,4
c→r,4
m→r,3
y→g,3
m→w,3
y→l,3
t→r,2
u→a,2
w→n,2
k→t,2
a→o,2
e→c,2
t→f,2
n→a,2
g→y,2
n→r,2
m→k,2
f→t,2
r→v,2
z→i,1
e→o,1
s→f,1
z→j,1
m→n,1
l→r,1
w→q,1
q→g,1
o→m,1
o→n,1
g→f,1
z→l,1
o→e,1
a→g,1
v→u,1
e→a,1
u→v,1
a→i,1
k→f,1
z→x,1
n→v,1
k→h,1
t→p,1
a→u,1
合計,145
文字,認識率
a,85.7%
b,63.9%
c,88.9%
d,100.0%
e,85.0%
f,94.3%
g,80.6%
h,100.0%
i,95.2%
j,100.0%
k,89.2%
l,97.1%
m,74.3%
n,93.1%
o,88.6%
p,100.0%
q,80.6%
r,94.6%
s,80.3%
t,95.5%
u,95.8%
v,97.1%
w,78.4%
x,100.0%
y,94.4%
z,88.9%
全体,90.3%
