誤認識種類,誤認識数
e→p,21
b→h,11
o→c,9
s→c,8
w→u,6
i→j,6
g→q,4
z→i,4
n→r,4
m→r,3
t→r,3
q→g,3
w→n,3
e→o,3
m→k,3
s→r,3
y→g,3
c→r,3
u→a,2
k→t,2
n→a,2
o→n,2
f→t,2
v→u,2
m→w,2
y→l,2
a→r,1
e→c,1
z→j,1
l→r,1
w→q,1
i→f,1
s→i,1
g→y,1
b→l,1
g→f,1
s→h,1
a→o,1
o→e,1
u→v,1
t→f,1
a→i,1
k→f,1
z→x,1
r→v,1
k→h,1
y→q,1
t→p,1
a→u,1
合計,139
文字,認識率
a,88.6%
b,66.7%
c,91.7%
d,100.0%
e,87.9%
f,94.3%
g,83.3%
h,100.0%
i,95.2%
j,100.0%
k,89.2%
l,97.1%
m,77.1%
n,91.7%
o,82.9%
p,100.0%
q,90.3%
r,97.3%
s,81.7%
t,95.5%
u,95.8%
v,94.3%
w,73.0%
x,100.0%
y,94.4%
z,83.3%
全体,90.7%
