誤認識種類,誤認識数
e→p,33
b→h,15
s→c,8
s→r,5
o→n,5
c→r,4
m→r,4
m→w,4
o→c,4
i→j,4
g→q,3
f→t,3
q→y,3
u→v,3
y→l,3
u→a,2
k→t,2
a→o,2
t→f,2
g→y,2
w→u,2
n→r,2
n→u,2
a→u,2
r→v,2
k→h,2
z→i,1
w→n,1
e→o,1
m→v,1
e→c,1
z→j,1
m→n,1
l→r,1
w→q,1
n→q,1
y→g,1
i→f,1
n→a,1
q→g,1
o→m,1
a→n,1
a→q,1
m→k,1
w→h,1
z→y,1
j→i,1
s→f,1
x→y,1
v→u,1
a→i,1
i→l,1
z→q,1
q→a,1
z→t,1
j→l,1
s→j,1
t→p,1
y→t,1
合計,156
文字,認識率
a,80.0%
b,58.3%
c,88.9%
d,100.0%
e,83.1%
f,91.4%
g,86.1%
h,100.0%
i,95.9%
j,93.9%
k,89.2%
l,97.1%
m,68.6%
n,91.7%
o,85.7%
p,100.0%
q,83.9%
r,94.6%
s,78.9%
t,97.3%
u,93.1%
v,97.1%
w,86.5%
x,97.2%
y,95.3%
z,86.1%
全体,89.5%
