誤認識種類,誤認識数
e→p,38
o→d,8
g→y,8
i→j,7
w→n,6
y→l,4
q→g,3
b→h,3
s→c,2
c→r,2
m→n,2
c→o,2
n→r,2
t→f,2
i→l,2
o→n,2
f→t,2
w→u,2
z→t,2
q→l,1
z→i,1
m→w,1
e→c,1
i→t,1
l→r,1
w→a,1
a→g,1
o→m,1
u→a,1
y→t,1
s→o,1
a→n,1
v→r,1
a→d,1
v→n,1
g→q,1
u→v,1
a→i,1
y→r,1
e→o,1
o→a,1
r→v,1
x→n,1
s→j,1
k→h,1
t→e,1
a→u,1
合計,127
文字,認識率
a,85.7%
b,91.7%
c,88.9%
d,100.0%
e,80.7%
f,94.3%
g,75.0%
h,100.0%
i,93.2%
j,100.0%
k,97.3%
l,97.1%
m,91.4%
n,97.2%
o,82.9%
p,100.0%
q,87.1%
r,97.3%
s,94.4%
t,97.3%
u,97.2%
v,94.3%
w,75.7%
x,97.2%
y,94.4%
z,91.7%
全体,91.5%
