誤認識種類,誤認識数
i→j,5
s→c,4
y→l,4
q→g,3
e→p,3
n→r,3
o→d,3
y→t,3
o→a,2
m→n,2
t→f,2
s→r,2
f→t,2
b→h,2
u→a,2
w→n,1
e→c,1
i→t,1
v→c,1
l→r,1
w→a,1
n→a,1
i→z,1
e→z,1
o→m,1
o→e,1
o→n,1
v→r,1
o→s,1
m→w,1
g→q,1
u→v,1
a→n,1
i→l,1
w→u,1
y→r,1
z→t,1
r→v,1
x→n,1
s→j,1
k→h,1
t→e,1
a→u,1
合計,70
文字,認識率
a,94.3%
b,94.4%
c,100.0%
d,100.0%
e,97.6%
f,94.3%
g,97.2%
h,100.0%
i,94.5%
j,100.0%
k,97.3%
l,97.1%
m,91.4%
n,94.4%
o,87.1%
p,100.0%
q,90.3%
r,97.3%
s,90.1%
t,97.3%
u,95.8%
v,94.3%
w,91.9%
x,97.2%
y,92.5%
z,97.2%
全体,95.3%
