誤認識種類,誤認識数
e→p,16
b→h,12
m→r,7
s→c,6
w→u,6
o→c,5
y→l,5
z→i,4
m→w,4
g→q,3
w→n,3
f→t,3
s→r,3
i→j,3
u→a,2
k→t,2
t→f,2
n→a,2
c→r,2
n→r,2
k→h,2
c→o,1
e→c,1
s→f,1
z→j,1
k→b,1
m→n,1
l→r,1
w→q,1
y→g,1
i→f,1
g→y,1
o→m,1
a→d,1
w→h,1
e→s,1
a→o,1
v→u,1
q→g,1
u→v,1
a→i,1
i→l,1
o→n,1
j→l,1
r→v,1
s→j,1
t→p,1
a→u,1
合計,121
文字,認識率
a,88.6%
b,66.7%
c,91.7%
d,100.0%
e,91.3%
f,91.4%
g,88.9%
h,100.0%
i,96.6%
j,97.0%
k,86.5%
l,97.1%
m,65.7%
n,94.4%
o,90.0%
p,100.0%
q,96.8%
r,97.3%
s,84.5%
t,97.3%
u,95.8%
v,97.1%
w,70.3%
x,100.0%
y,94.4%
z,86.1%
全体,91.9%
