誤認識種類,誤認識数
e→p,29
b→h,12
s→c,6
w→u,6
g→q,5
o→c,5
m→r,4
t→r,4
s→r,4
o→n,4
e→o,3
a→o,3
e→c,3
n→r,3
t→f,3
y→g,3
c→r,3
i→j,3
y→l,3
z→i,2
w→n,2
k→t,2
s→f,2
n→a,2
i→f,2
e→a,2
q→y,2
g→y,2
f→t,2
a→u,2
v→u,2
m→w,2
m→v,1
z→j,1
l→r,1
w→q,1
q→g,1
o→m,1
j→i,1
o→e,1
e→q,1
u→v,1
a→i,1
k→f,1
z→x,1
n→v,1
r→v,1
k→h,1
t→p,1
合計,149
文字,認識率
a,82.9%
b,66.7%
c,91.7%
d,100.0%
e,81.6%
f,94.3%
g,80.6%
h,100.0%
i,96.6%
j,97.0%
k,89.2%
l,97.1%
m,80.0%
n,91.7%
o,84.3%
p,100.0%
q,90.3%
r,97.3%
s,83.1%
t,92.7%
u,98.6%
v,94.3%
w,75.7%
x,100.0%
y,94.4%
z,88.9%
全体,90.0%
