誤認識種類,誤認識数
i→j,25
e→p,15
h→b,13
q→g,10
e→a,6
v→u,6
w→u,6
s→c,5
m→n,5
o→c,5
t→r,5
a→o,5
t→f,5
g→q,4
n→a,4
n→r,4
y→r,4
d→j,4
y→z,4
z→y,3
o→e,3
m→r,3
t→y,3
v→r,3
x→y,2
c→e,2
g→j,2
f→t,2
k→f,2
b→h,2
s→f,2
c→r,2
s→j,2
t→n,2
w→n,1
q→f,1
c→o,1
o→b,1
u→a,1
a→g,1
e→l,1
i→r,1
q→p,1
y→q,1
l→r,1
w→a,1
n→k,1
e→t,1
y→g,1
d→a,1
e→z,1
a→q,1
t→d,1
b→l,1
f→y,1
g→s,1
j→i,1
s→b,1
o→s,1
o→a,1
m→v,1
s→i,1
u→v,1
y→j,1
n→u,1
i→l,1
t→m,1
n→l,1
x→r,1
s→r,1
k→h,1
y→l,1
k→b,1
a→u,1
b→i,1
o→p,1
合計,212
文字,認識率
a,77.1%
b,88.9%
c,86.1%
d,86.1%
e,88.4%
f,91.4%
g,80.6%
h,63.9%
i,81.5%
j,97.0%
k,89.2%
l,97.1%
m,74.3%
n,84.7%
o,82.9%
p,100.0%
q,61.3%
r,100.0%
s,83.1%
t,84.5%
u,97.2%
v,74.3%
w,78.4%
x,91.7%
y,88.8%
z,91.7%
全体,85.8%
