誤認識種類,誤認識数
e→p,19
b→h,12
s→c,8
m→r,7
y→l,5
c→r,4
e→o,4
f→t,4
k→t,4
m→w,4
o→c,4
o→n,4
i→j,4
g→q,3
t→r,3
s→r,3
g→y,2
w→n,2
u→a,2
a→o,2
t→f,2
n→a,2
w→u,2
n→r,2
c→o,1
z→i,1
e→c,1
z→j,1
k→b,1
l→r,1
w→q,1
y→g,1
i→f,1
q→y,1
s→g,1
o→m,1
w→h,1
s→f,1
e→s,1
v→u,1
u→v,1
a→i,1
i→l,1
r→v,1
s→j,1
k→h,1
t→p,1
a→u,1
e→a,1
合計,133
文字,認識率
a,88.6%
b,66.7%
c,86.1%
d,100.0%
e,87.4%
f,88.6%
g,86.1%
h,100.0%
i,95.9%
j,100.0%
k,83.8%
l,97.1%
m,68.6%
n,94.4%
o,87.1%
p,100.0%
q,96.8%
r,97.3%
s,80.3%
t,94.5%
u,95.8%
v,97.1%
w,83.8%
x,100.0%
y,94.4%
z,94.4%
全体,91.1%
