誤認識種類,誤認識数
e→p,28
b→h,11
o→c,7
s→c,6
w→u,6
s→r,6
g→q,4
e→c,4
g→y,4
m→r,3
z→i,3
w→n,3
k→t,3
m→k,3
a→o,3
c→r,3
q→y,3
i→j,3
n→r,3
y→l,3
t→r,2
s→f,2
t→f,2
n→a,2
y→g,2
o→n,2
f→t,2
m→w,2
e→o,2
k→h,2
m→n,1
u→a,1
i→t,1
z→j,1
l→r,1
w→q,1
e→a,1
q→g,1
o→m,1
a→r,1
y→t,1
g→f,1
j→i,1
s→h,1
o→e,1
v→u,1
u→v,1
a→i,1
y→r,1
z→x,1
r→v,1
s→j,1
y→q,1
t→p,1
a→u,1
合計,154
文字,認識率
a,82.9%
b,69.4%
c,91.7%
d,100.0%
e,83.1%
f,94.3%
g,75.0%
h,100.0%
i,97.3%
j,97.0%
k,86.5%
l,97.1%
m,74.3%
n,93.1%
o,84.3%
p,100.0%
q,87.1%
r,97.3%
s,77.5%
t,95.5%
u,97.2%
v,97.1%
w,73.0%
x,100.0%
y,92.5%
z,86.1%
全体,89.7%
