誤認識種類,誤認識数
e→p,21
b→h,11
s→c,7
i→j,7
o→c,6
g→q,5
y→l,5
w→u,4
m→r,4
m→w,4
g→y,4
f→t,3
a→o,3
s→r,3
c→r,3
q→y,3
o→n,3
v→u,3
u→a,2
z→i,2
e→o,2
k→t,2
t→f,2
n→q,2
a→n,2
n→r,2
n→u,2
c→o,1
w→n,1
m→v,1
e→c,1
z→j,1
m→p,1
l→r,1
w→q,1
y→g,1
i→f,1
o→m,1
a→d,1
w→h,1
y→t,1
b→l,1
j→i,1
x→y,1
u→v,1
a→i,1
k→y,1
i→l,1
q→a,1
z→a,1
r→v,1
s→j,1
k→h,1
t→p,1
a→u,1
合計,145
文字,認識率
a,77.1%
b,66.7%
c,88.9%
d,100.0%
e,88.4%
f,91.4%
g,75.0%
h,100.0%
i,93.8%
j,97.0%
k,89.2%
l,97.1%
m,71.4%
n,91.7%
o,85.7%
p,100.0%
q,87.1%
r,97.3%
s,84.5%
t,97.3%
u,95.8%
v,91.4%
w,81.1%
x,97.2%
y,93.5%
z,88.9%
全体,90.3%
