誤認識種類,誤認識数
e→p,29
b→h,13
q→g,10
s→c,6
y→l,5
m→w,4
i→j,4
a→o,3
s→r,3
n→r,3
c→r,3
w→u,3
o→c,3
o→n,3
z→i,3
m→r,2
u→a,2
z→j,2
m→v,2
t→f,2
n→a,2
f→t,2
y→t,2
k→t,2
k→h,2
c→o,1
w→n,1
e→s,1
e→c,1
i→t,1
m→p,1
l→r,1
w→q,1
y→g,1
i→f,1
e→a,1
g→q,1
t→r,1
s→g,1
g→y,1
o→m,1
q→y,1
m→k,1
a→x,1
a→n,1
j→i,1
m→n,1
n→u,1
v→u,1
u→v,1
a→i,1
i→l,1
z→q,1
z→x,1
r→v,1
s→j,1
t→p,1
a→u,1
合計,148
文字,認識率
a,80.0%
b,63.9%
c,88.9%
d,100.0%
e,84.5%
f,94.3%
g,94.4%
h,100.0%
i,95.2%
j,97.0%
k,89.2%
l,97.1%
m,68.6%
n,91.7%
o,90.0%
p,100.0%
q,64.5%
r,97.3%
s,84.5%
t,96.4%
u,95.8%
v,97.1%
w,86.5%
x,100.0%
y,92.5%
z,80.6%
全体,90.1%
